pore_id,pore_volume_m3,pore_radius_m,shape_factor,clay_volume,pore_volume_um3,pore_radius_um,pore_diameter_um,equivalent_t2_ms
174,1.001309e-13,2.043753e-05,0.02623874,0.0,100130.9,20.437530000000002,40.875060000000005,1362.5020000000002
175,1.63301e-13,2.034693e-05,0.02453929,0.0,163301.0,20.34693,40.69386,1356.462
176,4.811548e-14,2.029476e-05,0.03137656,0.0,48115.48,20.29476,40.58952,1352.9840000000002
177,1.184626e-13,2.032583e-05,0.0669021,0.0,118462.59999999999,20.32583,40.65166,1355.0553333333335
178,5.75857e-14,2.019552e-05,0.02560715,0.0,57585.700000000004,20.195520000000002,40.391040000000004,1346.3680000000002
179,1.191492e-13,2.045307e-05,0.0266093,0.0,119149.2,20.45307,40.90614,1363.538
180,5.672219e-14,1.933237e-05,0.03900524,0.0,56722.19,19.33237,38.66474,1288.8246666666669
181,1.142583e-13,1.924211e-05,0.02390762,0.0,114258.29999999999,19.24211,38.48422,1282.8073333333334
182,1.220299e-13,1.940261e-05,0.03205369,0.0,122029.90000000001,19.40261,38.80522,1293.5073333333332
183,5.229851e-14,1.914825e-05,0.01955022,0.0,52298.51,19.14825,38.2965,1276.5500000000002
184,1.640654e-13,1.92507e-05,0.02310624,0.0,164065.4,19.2507,38.5014,1283.3799999999999
185,1.015394e-13,2.001255e-05,0.02921075,0.0,101539.4,20.012549999999997,40.025099999999995,1334.1699999999998
186,8.487096e-14,1.956545e-05,0.03267433,0.0,84870.96,19.565450000000002,39.130900000000004,1304.3633333333335
187,1.150723e-13,1.901812e-05,0.02274298,0.0,115072.3,19.018120000000003,38.03624000000001,1267.8746666666668
188,1.202321e-13,1.924038e-05,0.03796964,0.0,120232.1,19.240380000000002,38.480760000000004,1282.6920000000002
189,1.609866e-13,1.933976e-05,0.02422531,0.0,160986.6,19.339760000000002,38.679520000000004,1289.3173333333334
190,1.577166e-13,1.917035e-05,0.03245095,0.0,157716.59999999998,19.17035,38.3407,1278.0233333333333
191,7.385068e-14,1.997962e-05,0.03829866,0.0,73850.68,19.97962,39.95924,1331.9746666666667
192,1.127578e-13,1.944354e-05,0.02199988,0.0,112757.8,19.443540000000002,38.887080000000005,1296.236
193,3.441977e-14,1.895112e-05,0.02401169,0.0,34419.77,18.95112,37.90224,1263.408
194,1.129489e-13,1.948136e-05,0.03475721,0.0,112948.9,19.48136,38.96272,1298.7573333333332
195,1.710938e-13,1.927172e-05,0.02565463,0.0,171093.80000000002,19.27172,38.54344,1284.7813333333334
196,1.301977e-13,1.974591e-05,0.03029269,0.0,130197.7,19.745910000000002,39.491820000000004,1316.3940000000002
197,1.066284e-13,2.050202e-05,0.03019633,0.0,106628.4,20.502019999999998,41.004039999999996,1366.8013333333333
198,8.515407e-14,1.926307e-05,0.02629449,0.0,85154.06999999999,19.26307,38.52614,1284.2046666666668
199,6.159886e-14,1.906876e-05,0.03694921,0.0,61598.86,19.06876,38.13752,1271.2506666666668
200,8.27122e-14,1.852112e-05,0.02174585,0.0,82712.2,18.52112,37.04224,1234.7413333333334
201,1.14322e-13,1.957072e-05,0.02600323,0.0,114322.0,19.57072,39.14144,1304.7146666666667
202,8.851607e-14,1.898881e-05,0.03122928,0.0,88516.06999999999,18.98881,37.97762,1265.9206666666669
203,7.724099e-14,1.897029e-05,0.02776607,0.0,77240.99,18.97029,37.94058,1264.686
204,2.458788e-13,1.929788e-05,0.03267729,0.0,245878.80000000002,19.29788,38.59576,1286.5253333333333
205,1.076334e-13,1.926972e-05,0.03088015,0.0,107633.4,19.26972,38.53944,1284.648
206,1.104646e-13,1.882698e-05,0.02764468,0.0,110464.59999999999,18.82698,37.65396,1255.132
207,5.632583e-14,1.906549e-05,0.03105353,0.0,56325.829999999994,19.06549,38.13098,1271.0326666666667
208,8.390128e-14,1.922574e-05,0.03308278,0.0,83901.28,19.225740000000002,38.451480000000004,1281.7160000000001
209,1.057083e-13,1.89882e-05,0.03248951,0.0,105708.3,18.9882,37.9764,1265.8799999999999
210,7.152206e-14,1.908296e-05,0.02826856,0.0,71522.06,19.08296,38.16592,1272.1973333333333
211,1.321229e-13,1.855429e-05,0.02937724,0.0,132122.9,18.554289999999998,37.108579999999996,1236.9526666666666
212,7.208121e-14,1.905678e-05,0.03151651,0.0,72081.21,19.05678,38.11356,1270.452
213,8.759594e-14,1.924607e-05,0.03262128,0.0,87595.94,19.24607,38.49214,1283.0713333333333
214,8.040481e-14,1.87322e-05,0.03667291,0.0,80404.81,18.7322,37.4644,1248.8133333333333
215,1.995964e-13,1.903651e-05,0.04309601,0.0,199596.4,19.03651,38.07302,1269.1006666666667
216,9.775271e-14,1.834153e-05,0.04356653,0.0,97752.71,18.34153,36.68306,1222.7686666666666
217,1.071805e-13,1.892808e-05,0.03347947,0.0,107180.5,18.92808,37.85616,1261.872
218,1.337508e-13,1.894918e-05,0.02933119,0.0,133750.8,18.94918,37.89836,1263.2786666666666
219,6.012666e-14,1.861842e-05,0.03288901,0.0,60126.66,18.61842,37.23684,1241.228
220,9.46526e-14,1.866264e-05,0.01373612,0.0,94652.6,18.66264,37.32528,1244.176
221,1.313444e-13,1.922791e-05,0.0322795,0.0,131344.4,19.22791,38.45582,1281.8606666666667
222,1.271613e-13,1.869427e-05,0.0369586,0.0,127161.3,18.69427,37.38854,1246.2846666666667
223,1.574618e-13,1.813635e-05,0.0380938,0.0,157461.8,18.13635,36.2727,1209.0900000000001
224,1.008104e-13,1.783982e-05,0.03908473,0.0,100810.40000000001,17.83982,35.67964,1189.3213333333333
225,4.943197e-14,1.791536e-05,0.03244087,0.0,49431.97,17.91536,35.83072,1194.3573333333334
226,7.638457e-14,1.846589e-05,0.03701783,0.0,76384.56999999999,18.46589,36.93178,1231.0593333333336
227,8.58477e-14,1.797482e-05,0.02886375,0.0,85847.70000000001,17.97482,35.94964,1198.3213333333335
228,1.111441e-13,1.7766e-05,0.03724145,0.0,111144.1,17.766,35.532,1184.3999999999999
229,4.051383e-14,1.770208e-05,0.03577325,0.0,40513.83,17.70208,35.40416,1180.1386666666667
230,1.137487e-13,1.83185e-05,0.02447362,0.0,113748.7,18.3185,36.637,1221.2333333333333
231,3.977065e-14,2.254521e-05,0.03334927,0.0,39770.65,22.54521,45.09042,1503.0140000000001
232,1.284e-13,1.812949e-05,0.0468915,0.0,128399.99999999999,18.12949,36.25898,1208.6326666666666
233,7.021265e-14,1.813056e-05,0.03264458,0.0,70212.65,18.13056,36.26112,1208.704
234,7.063024e-14,1.829837e-05,0.02781146,0.0,70630.24,18.29837,36.59674,1219.8913333333333
235,5.411753e-14,1.794794e-05,0.0322567,0.0,54117.53,17.94794,35.89588,1196.5293333333334
236,8.379512e-14,1.749972e-05,0.02455708,0.0,83795.12,17.49972,34.99944,1166.6480000000001
237,6.407612e-14,1.759166e-05,0.03120345,0.0,64076.119999999995,17.59166,35.18332,1172.7773333333334
238,6.461404e-14,1.786945e-05,0.03011487,0.0,64614.03999999999,17.86945,35.7389,1191.2966666666669
239,7.823897e-14,1.811318e-05,0.02688301,0.0,78238.97,18.11318,36.22636,1207.5453333333335
240,4.685562e-14,1.791341e-05,0.03876208,0.0,46855.62,17.913410000000002,35.826820000000005,1194.2273333333335
241,1.00414e-13,1.794208e-05,0.02536705,0.0,100414.0,17.94208,35.88416,1196.1386666666667
242,1.061966e-13,1.782579e-05,0.03451185,0.0,106196.59999999999,17.82579,35.65158,1188.3860000000002
243,9.974868e-14,1.76683e-05,0.03636633,0.0,99748.68000000001,17.668300000000002,35.336600000000004,1177.8866666666668
244,1.562798e-14,2.035382e-05,0.06714978,0.0,15627.98,20.35382,40.70764,1356.9213333333332
245,1.147963e-13,1.756818e-05,0.04725882,0.0,114796.30000000002,17.56818,35.13636,1171.2120000000002
246,1.086951e-13,1.791401e-05,0.03431931,0.0,108695.1,17.914009999999998,35.828019999999995,1194.2673333333332
247,5.628337e-14,1.726e-05,0.02881506,0.0,56283.37,17.26,34.52,1150.6666666666667
248,7.091336e-14,1.733298e-05,0.03387057,0.0,70913.36,17.33298,34.66596,1155.532
249,5.745829e-14,1.74033e-05,0.04174731,0.0,57458.28999999999,17.4033,34.8066,1160.2200000000003
250,1.245708e-13,1.774145e-05,0.03212996,0.0,124570.8,17.74145,35.4829,1182.7633333333333
251,2.761792e-14,1.732635e-05,0.0375334,0.0,27617.92,17.32635,34.6527,1155.0900000000001
252,1.37941e-13,1.693385e-05,0.03313398,0.0,137941.0,16.93385,33.8677,1128.9233333333334
253,8.912477e-14,1.764866e-05,0.02917513,0.0,89124.77,17.64866,35.29732,1176.5773333333334
254,6.922882e-14,1.685298e-05,0.03875193,0.0,69228.81999999999,16.852980000000002,33.705960000000005,1123.5320000000002
