slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
48,0.24435102040816326,78,8082,69.0,779.7999999999995,17,6,6.354634906292149
317,0.21284897959183674,81,5004,38.0,720.0,32,6,6.33947807784962
225,0.23038367346938776,73,5735,35.0,641.5999999999998,23,6,6.336592842234519
182,0.23157551020408162,80,3647,69.5,1093.800000000001,27,10,6.329079723856182
208,0.24728979591836733,57,12592,66.0,1061.5999999999997,14,6,6.3223151176543535
207,0.23946938775510204,70,9118,76.5,710.3000000000003,17,5,6.311154246837078
219,0.22834285714285715,70,7483,85.5,659.5000000000001,21,5,6.296260712810955
123,0.23542857142857143,97,3995,48.0,915.2000000000014,24,10,6.284599829064689
296,0.21098775510204082,91,4334,36.0,619.0,34,7,6.2819874349280145
310,0.2112408163265306,87,5155,50.0,501.2000000000001,31,6,6.257971294897249
181,0.23008979591836734,80,3500,46.0,1026.3000000000022,27,8,6.256939417773556
192,0.22460408163265305,90,3054,51.5,936.0000000000005,31,8,6.246445833263641
21,0.23977142857142858,78,3627,64.0,1260.6,23,11,6.245738184206801
312,0.21729795918367348,87,5088,44.0,702.6000000000001,28,5,6.244995537026937
132,0.21686530612244898,81,4710,44.0,1030.0,29,9,6.238381155157355
202,0.2178448979591837,79,8034,54.0,898.8000000000005,23,8,6.225063684122154
232,0.22036734693877552,76,6749,51.0,611.0,23,6,6.175100078686409
10,0.280734693877551,41,13799,58.0,1885.0,9,6,6.1619067450486
196,0.22342857142857142,97,3502,43.0,732.6000000000001,28,7,6.14021128930534
279,0.22071020408163267,74,5890,54.5,787.2000000000003,23,7,6.089231350940069
184,0.23113469387755103,89,3558,59.0,1039.8000000000004,24,10,6.083812697146505
333,0.23511836734693878,75,3779,54.0,930.8000000000001,22,6,6.072770895019689
191,0.22778775510204083,82,3886,68.0,1013.9000000000008,24,9,6.060355521743069
203,0.2189469387755102,82,4871,47.0,1028.7000000000007,25,9,6.057242420224018
214,0.2310938775510204,64,10335,108.0,731.1000000000004,16,5,6.051999901493211
20,0.2507020408163265,69,4208,66.0,1317.4,17,10,6.046957186112612
3,0.2697387755102041,46,8202,65.5,2280.5,11,7,6.04069546862258
315,0.21410612244897959,80,5218,49.0,583.4000000000035,26,6,6.040482879594173
183,0.23106938775510205,85,3708,76.0,1037.2000000000023,23,9,6.035276213889913
297,0.20738775510204083,85,4112,31.0,776.0000000000025,32,8,6.034488874645125
288,0.21433469387755102,74,4579,54.5,1002.7000000000004,27,8,6.020375534337758
323,0.21168163265306122,81,4613,58.0,891.0,28,7,6.013742099551159
334,0.23245714285714286,74,3767,63.0,833.2000000000003,22,6,6.0017177282085274
280,0.21498775510204082,77,5809,49.0,867.0000000000007,24,7,5.997960112751544
284,0.21909387755102042,71,5486,58.0,848.0,23,7,5.99517064567348
