slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
241,242,165607,474393,640000,0.2587609375
242,243,165570,474430,640000,0.258703125
243,244,165646,474354,640000,0.258821875
244,245,165513,474487,640000,0.2586140625
245,246,165651,474349,640000,0.2588296875
246,247,166036,473964,640000,0.25943125
247,248,166510,473490,640000,0.260171875
248,249,167023,472977,640000,0.2609734375
249,250,167298,472702,640000,0.261403125
250,251,167565,472435,640000,0.2618203125
251,252,167838,472162,640000,0.262246875
252,253,167760,472240,640000,0.262125
253,254,167682,472318,640000,0.262003125
254,255,167543,472457,640000,0.2617859375
255,256,167270,472730,640000,0.261359375
256,257,166761,473239,640000,0.2605640625
257,258,166399,473601,640000,0.2599984375
258,259,165630,474370,640000,0.258796875
259,260,164875,475125,640000,0.2576171875
260,261,164275,475725,640000,0.2566796875
261,262,163441,476559,640000,0.2553765625
262,263,163164,476836,640000,0.25494375
263,264,162715,477285,640000,0.2542421875
264,265,161863,478137,640000,0.2529109375
265,266,161414,478586,640000,0.252209375
266,267,160804,479196,640000,0.25125625
267,268,160441,479559,640000,0.2506890625
268,269,160395,479605,640000,0.2506171875
269,270,160146,479854,640000,0.250228125
270,271,159995,480005,640000,0.2499921875
271,272,160044,479956,640000,0.25006875
272,273,159882,480118,640000,0.249815625
273,274,159643,480357,640000,0.2494421875
274,275,159761,480239,640000,0.2496265625
275,276,160001,479999,640000,0.2500015625
276,277,160913,479087,640000,0.2514265625
277,278,161866,478134,640000,0.252915625
278,279,162717,477283,640000,0.2542453125
279,280,163528,476472,640000,0.2555125
280,281,163909,476091,640000,0.2561078125
281,282,164497,475503,640000,0.2570265625
282,283,165142,474858,640000,0.258034375
283,284,165928,474072,640000,0.2592625
284,285,166808,473192,640000,0.2606375
285,286,167584,472416,640000,0.26185
286,287,168222,471778,640000,0.262846875
287,288,168605,471395,640000,0.2634453125
288,289,168767,471233,640000,0.2636984375
289,290,168710,471290,640000,0.263609375
290,291,168543,471457,640000,0.2633484375
291,292,168576,471424,640000,0.2634
292,293,168933,471067,640000,0.2639578125
293,294,169667,470333,640000,0.2651046875
294,295,170264,469736,640000,0.2660375
295,296,171109,468891,640000,0.2673578125
296,297,171847,468153,640000,0.2685109375
297,298,172095,467905,640000,0.2688984375
298,299,171787,468213,640000,0.2684171875
299,300,171520,468480,640000,0.268
300,301,171215,468785,640000,0.2675234375
301,302,170962,469038,640000,0.267128125
302,303,170906,469094,640000,0.267040625
303,304,170846,469154,640000,0.266946875
304,305,170584,469416,640000,0.2665375
305,306,170084,469916,640000,0.26575625
306,307,169563,470437,640000,0.2649421875
307,308,168598,471402,640000,0.263434375
308,309,167191,472809,640000,0.2612359375
309,310,166598,473402,640000,0.260309375
310,311,166482,473518,640000,0.260128125
311,312,166529,473471,640000,0.2602015625
312,313,166509,473491,640000,0.2601703125
313,314,166313,473687,640000,0.2598640625
314,315,166195,473805,640000,0.2596796875
315,316,165238,474762,640000,0.258184375
316,317,163977,476023,640000,0.2562140625
317,318,162427,477573,640000,0.2537921875
318,319,160534,479466,640000,0.250834375
319,320,159002,480998,640000,0.248440625
320,321,157532,482468,640000,0.24614375
321,322,156211,483789,640000,0.2440796875
322,323,154799,485201,640000,0.2418734375
323,324,153744,486256,640000,0.240225
324,325,152819,487181,640000,0.2387796875
325,326,152399,487601,640000,0.2381234375
326,327,152083,487917,640000,0.2376296875
327,328,151799,488201,640000,0.2371859375
328,329,151803,488197,640000,0.2371921875
329,330,152233,487767,640000,0.2378640625
330,331,152710,487290,640000,0.238609375
331,332,153546,486454,640000,0.239915625
332,333,154279,485721,640000,0.2410609375
333,334,154339,485661,640000,0.2411546875
334,335,154458,485542,640000,0.241340625
335,336,154754,485246,640000,0.241803125
